Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
1703,18495,DIAVEL 1260 S,Ducatti Sportbike,2020
1864,15999,MULTISTRADA 1260 S,Ducatti Sportbike,2019
8625,27999,SUPERBIKE PANIGALE V4 S CORSE,Ducatti Sportbike,2019
2541,9000,STREETFIGHTER S,Ducatti Sportbike,2010
2127,16500,DESERTX,Ducatti Dual Sport,2023
1,17495,STREETFIGHTER V2 STORM GREEN,Ducatti Sportbike,2023
3,17995,STREETFIGHTER V2 DUCATI RED,Ducatti Sportbike,2023
377,15550,STREETFIGHTER V2,Ducatti Sportbike,2022
63,19500,PANIGALE V2,Ducatti Sportbike,2021
1678,8500,SCRAMBLER® NIGHTSHIFT,Ducatti Standard,2021
1678,9500,MONSTER 821,Ducatti Sport Touring,2019
4287,10750,SCRAMBLER 1100,Ducatti Sportbike,2018
2579,8000,SCRAMBLER STREET CLASSIC,Ducatti Standard,2018
4660,10500,DIAVEL CARBON,Ducatti Sport Touring,2015
596,12500,MONSTER + 937,Ducatti Sportbike,2023
1,16895,SUPERSPORT 950 S DUCATI RED FAIRING,Ducatti Sportbike,2023
1988,21500,PANIGALE V4,Ducatti Sportbike,2021
1784,19400,MULTISTRADA 1200,Ducatti Sportbike,2020
5344,12000,HYPERMOTARD 950,Ducatti Sportbike,2019
955,40000,SUPERBIKE PANIGALE V4 R,Ducatti Sportbike,2019
4847,9300,848 EVO BASE,Ducatti Sportbike,2011
3480,7500,MONSTER S2R 1000,Ducatti Sportbike,2006
0,17695,DESERTX STAR WHITE SILK,Ducatti Dual Sport,2023
0,11895,SCRAMBLER URBAN MOTARD STAR WHITE SILK AND DUCATI GP,Ducatti Standard,2023
0,11695,SCRAMBLER NIGHTSHIFT AVIATOR GREY,Ducatti Standard,2023
0,24495,PANIGALE V4 DUCATI RED,Ducatti Sportbike,2023
0,25995,DIAVEL 1260 S BLACK AND STEEL,Ducatti Cruiser,2023
4,15595,MONSTER SP LIVERY 821 STRIPE,Ducatti Sportbike,2023
1,18295,PANIGALE V2 DUCATI RED,Ducatti Sportbike,2023
3,31595,PANIGALE V4 S DUCATI RED,Ducatti Sportbike,2023
0,28295,MULTISTRADA V4S ICEBERG WHITE - SPOKED WHEELS V4 S,Ducatti Sportbike,2023
3,10995,SCRAMBLER ICON 62 YELLOW,Ducatti Standard,2023
0,27395,XDIAVEL S THRILLING BLACK,Ducatti Sportbike,2023
0,25995,DIAVEL 1260 S BLACK AND STEEL,Ducatti Sportbike,2023
0,31595,PANIGALE V4 S,Ducatti Sportbike,2023
0,18999,STREETFIGHTER V4,Ducatti Sportbike,2022
1118,20995,DIAVEL 1260 S TOTAL BLACK,Ducatti Sportbike,2022
0,26295,MULTISTRADA V4S AVIATOR GREY / ALLOY WHEELS V4 S SPORT,Ducatti Sportbike,2022
0,9995,SCRAMBLER ICON ROSSO DUCATI,Ducatti Standard,2022
0,23797,MULTISTRADA V4S AVIATOR GREY / ALLOY WHEELS V4 S SPORT,Ducatti Sportbike,2022
5,20395,XDIAVEL DARK,Ducatti Sportbike,2022
1864,24000,SUPERBIKE PANIGALE V4 S,Ducatti Sportbike,2021
1305,9250,SCRAMBLER CAFE RACER,Ducatti Sportbike,2020
4433,14898,MONSTER 1200 S,Ducatti Sportbike,2020
0,19995,DIAVEL 1260 DARK STEALTH 1260 S,Ducatti Sportbike,2020
3107,14900,SUPERSPORT,Ducatti Sportbike,2018
2796,13750,MULTISTRADA 1200 ENDURO,Ducatti Dual Sport,2016
0,9500,MONSTER 1200 S,Ducatti Sportbike,2015
8423,9999,749 S,Ducatti Sportbike,2004
0,29795,XDIAVEL NERA BASE,Ducatti Sportbike,2022
209,21000,STREETFIGHTER V4,Ducatti Sportbike,2021
124,11110,SCRAMBLER® CAFE RACER,Ducatti Sport Touring,2019
1864,12900,SUPERSPORT S,Ducatti Sportbike,2018
963,10000,SCRAMBLER DESERT SLED,Ducatti Dual Sport,2018
0,16987,DIAVEL,Ducatti Sportbike,2018
9866,12995,PANIGALE 959,Ducatti Sportbike,2017
1864,13500,MONSTER 1200 S,Ducatti Sportbike,2017
0,9900,PANIGALE 899,Ducatti Sportbike,2014
40389,5700,MULTISTRADA 1200 S TOURING,Ducatti Sport Touring,2013
7506,4995,MONSTER 620 DARK,Ducatti Sportbike,2005
1206,19000,DIAVEL 1260 S,Ducatti Cruiser,2021
556,16900,HYPERMOTARD 950 SP,Ducatti Sportbike,2020
4039,7900,MONSTER 821,Ducatti Standard,2015
3915,11000,MONSTER 1200 S,Ducatti Sportbike,2014
4742,9000,848 BASE,Ducatti Sportbike,2008
0,31595,PANIGALE V4S PANIGALE V4 S,Ducatti Custom,2023
2672,20500,MULTISTRADA V4 S,Ducatti Sport Touring,2022
575,38500,SUPERBIKE PANIGALE V4 SPECIALE,Ducatti Sportbike,2021
217,11500,MONSTER + 937,Ducatti Sportbike,2021
923,10450,SCRAMBLER 1100 SPORT,Ducatti Sportbike,2020
7059,14995,MULTISTRADA 1260 S TOURING,Ducatti Standard,2018
870,15000,HYPERMOTARD 950 RVE,Ducatti Super Moto,2023
4971,17000,MULTISTRADA 1260 PIKES PEAK,Ducatti Sportbike,2019
854,36000,PANIGALE V4 SPECIALE,Ducatti Sportbike,2019
2057,14500,DIAVEL 1260,Ducatti Sport Touring,2018
4438,8499,MONSTER 821,Ducatti Sportbike,2016
12716,7295,MULTISTRADA 1200 S TOURING,Ducatti Standard,2014
2,26795,MULTISTRADA 1200,Ducatti Sportbike,2022
0,13995,MONSTER 1200 S LIQUID CONCRETE GREY,Ducatti Sportbike,2019
360,25995,STREETFIGHTER V4S,Ducatti Sportbike,2021
3279,7900,SCRAMBLER ICON,Ducatti Standard,2019
8599,11995,MULTISTRADA 1200 S,Ducatti Standard,2016
2547,10996,MONSTER 1200 S RED,Ducatti Sportbike,2018
19618,10496,MULTISTRADA 1200 ENDURO,Ducatti Sport Touring,2016
9835,9791,MONSTER 821,Ducatti Sportbike,2018
2080,22899,PANIGALE V4 S,Ducatti Sportbike,2019
1573,18660,X DIAVEL S,Ducatti Sportbike,2019
3557,22966,MULTISTRADA V4S DUCATI RED / ALLOY WHEELS V4 S SPORT,Ducatti Sportbike,2022
1957,17999,DIAVEL 1260 S,Ducatti Standard,2019
