Mileage_km,Price_$,Bike ,Type_of_Bike,Used_Time
12553," 9,300 ",848 EVO BASE,Ducati Sportbike,2011
9012," 7,500 ",MONSTER S2R 1000,Ducati Sportbike,2006
10," 15,595 ",MONSTER SP LIVERY 821 STRIPE,Ducati Sportbike,2023
2," 18,295 ",PANIGALE V2 DUCATI RED,Ducati Sportbike,2023
8," 31,595 ",PANIGALE V4 S DUCATI RED,Ducati Sportbike,2023
8," 10,995 ",SCRAMBLER ICON 62 YELLOW,Ducati Standard,2023
10," 15,595 ",MONSTER SP LIVERY 821 STRIPE,Ducati Sportbike,2023
2897," 20,995 ",DIAVEL 1260 S TOTAL BLACK,Ducati Sportbike,2022
13," 20,395 ",XDIAVEL DARK,Ducati Sportbike,2022
4828," 24,000 ",SUPERBIKE PANIGALE V4 S,Ducati Sportbike,2021
3380," 9,250 ",SCRAMBLER CAFE RACER,Ducati Sportbike,2020
11481," 14,898 ",MONSTER 1200 S,Ducati Sportbike,2020
8047," 14,900 ",SUPERSPORT,Ducati Sportbike,2018
7242," 13,750 ",MULTISTRADA 1200 ENDURO,Ducati Dual Sport,2016
21815," 9,999 ",749 S,Ducati Sportbike,2004
541," 21,000 ",STREETFIGHTER V4,Ducati Sportbike,2021
322," 11,110 ",SCRAMBLER® CAFE RACER,Ducati Sport Touring,2019
4828," 12,900 ",SUPERSPORT S,Ducati Sportbike,2018
2494," 10,000 ",SCRAMBLER DESERT SLED,Ducati Dual Sport,2018
25553," 12,995 ",PANIGALE 959,Ducati Sportbike,2017
4828," 13,500 ",MONSTER 1200 S,Ducati Sportbike,2017
104607," 5,700 ",MULTISTRADA 1200 S TOURING,Ducati Sport Touring,2013
19441," 4,995 ",MONSTER 620 DARK,Ducati Sportbike,2005
3124," 19,000 ",DIAVEL 1260 S,Ducati Cruiser,2021
1440," 16,900 ",HYPERMOTARD 950 SP,Ducati Sportbike,2020
10461," 7,900 ",MONSTER 821,Ducati Standard,2015
10139," 11,000 ",MONSTER 1200 S,Ducati Sportbike,2014
12281," 9,000 ",848 BASE,Ducati Sportbike,2008
6920," 20,500 ",MULTISTRADA V4 S,Ducati Sport Touring,2022
1489," 38,500 ",SUPERBIKE PANIGALE V4 SPECIALE,Ducati Sportbike,2021
563," 11,500 ",MONSTER + 937,Ducati Sportbike,2021
2390," 10,450 ",SCRAMBLER 1100 SPORT,Ducati Sportbike,2020
18284," 14,995 ",MULTISTRADA 1260 S TOURING,Ducati Standard,2018
2253," 15,000 ",HYPERMOTARD 950 RVE,Ducati Super Moto,2023
12875," 17,000 ",MULTISTRADA 1260 PIKES PEAK,Ducati Sportbike,2019
2213," 36,000 ",PANIGALE V4 SPECIALE,Ducati Sportbike,2019
5327," 14,500 ",DIAVEL 1260,Ducati Sport Touring,2018
11494," 8,499 ",MONSTER 821,Ducati Sportbike,2016
32934," 7,295 ",MULTISTRADA 1200 S TOURING,Ducati Standard,2014
6," 26,795 ",MULTISTRADA 1200,Ducati Sportbike,2022
933," 25,995 ",STREETFIGHTER V4S,Ducati Sportbike,2021
8493," 7,900 ",SCRAMBLER ICON,Ducati Standard,2019
22272," 11,995 ",MULTISTRADA 1200 S,Ducati Standard,2016
6597," 10,996 ",MONSTER 1200 S RED,Ducati Sportbike,2018
50810," 10,496 ",MULTISTRADA 1200 ENDURO,Ducati Sport Touring,2016
25473," 9,791 ",MONSTER 821,Ducati Sportbike,2018
5388," 22,899 ",PANIGALE V4 S,Ducati Sportbike,2019
4075," 18,660 ",X DIAVEL S,Ducati Sportbike,2019
9212," 22,966 ",MULTISTRADA V4S DUCATI RED / ALLOY WHEELS V4 S SPORT,Ducati Sportbike,2022
5069," 17,999 ",DIAVEL 1260 S,Ducati Standard,2019
15580," 15,995 ",XDIAVEL S THRILLING BLACK,Ducati Sportbike,2017
38706," 9,542 ",STREETFIGHTER F848 BASE,Ducati Standard,2015
1508," 34,995 ",SPORTCLASSIC SPORT 1000 S,Ducati Classic / Vintage,2009
5924," 15,450 ",SUPERSPORT 950 S,Ducati Sportbike,2021
1481," 24,999 ",STREETFIGHTER V4 S DUCATI RED,Ducati Sportbike,2022
7242," 29,995 ",PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,Ducati Sportbike,2022
2670," 34,094 ",PANIGALE V4 S,Ducati Sportbike,2019
9220," 21,161 ",PANIGALE V4 DUCATI RED,Ducati Sportbike,2021
15871," 7,999 ",SCRAMBLER ICON GREY,Ducati Standard,2017
314," 34,995 ",MULTISTRADA V4 PIKES PEAK LIVERY,Ducati Sportbike,2023
2097," 9,718 ",SCRAMBLER,Ducati Standard,2019
15186," 11,995 ",MONSTER 1200 S,Ducati Sportbike,2018
9487," 16,999 ",XDIAVEL S THRILLING BLACK,Ducati Sportbike,2016
16," 3,995 ",E-SCRAMBLER 1100,Ducati Electric Bicycle,2021
452," 23,995 ",STREETFIGHTER V4 S DUCATI RED,Ducati Sportbike,2021
8," 17,695 ",DESERTX,Ducati Standard,2023
57936," 11,490 ",MULTISTRADA 1200 S TOURING PKG RED,Ducati Sport Touring,2015
6241," 45,888 ",PANIGALE R SUPERLEGGERA V4,Ducati Sportbike,2014
37556," 7,999 ",DIAVEL,Ducati Sportbike,2012
8," 18,095 ",SUPERSPORT 950 S,Ducati Sportbike,2023
24324," 14,990 ",XDIAVEL DARK STEALTH,Ducati Sportbike,2016
