Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
16,"5,099",SCRAM 411 GRAPHITE YELLOW,Royal Enfield Standard,2023
5,"6,649",CONTINENTAL GT 650 VENTURA STORM,Royal Enfield Standard,2023
16,"6,576",HIMALAYAN GRAVEL GREY,Royal Enfield Standard,2023
16,"5,550",HIMALAYAN GRAVEL GREY,Royal Enfield Standard,2023
16,"4,799",METEOR 350 STELLAR BLUE,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
16,"4,899",METEOR 350 SUPERNOVA BROWN,Royal Enfield Standard,2023
3,"6,349",INT650 BAKER EXPRESS,Royal Enfield Standard,2023
16,"6,649",CONTINENTAL GT 650 VENTURA STORM,Royal Enfield Standard,2023
16,"4,799",CLASSIC 350 DARK STEALTH BLACK,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 GRAPHITE YELLOW,Royal Enfield Standard,2023
16,"6,349",INT650 MARK 2,Royal Enfield Standard,2023
16,"5,550",HIMALAYAN ROCK RED,Royal Enfield Standard,2023
16,"6,649",CONTINENTAL GT 650 DUX DELUXE BASE,Royal Enfield Standard,2023
16,"4,799",METEOR 350 STELLAR BLACK,Royal Enfield Standard,2023
8,"4,699",METEOR 350 FIREBALL MATT GREEN,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 GRAPHITE RED,Royal Enfield Standard,2023
16,"5,550",HIMALAYAN LAKE BLUE,Royal Enfield Standard,2023
16,"5,550",HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2023
16,"4,699",METEOR 350 FIREBALL YELLOW,Royal Enfield Standard,2023
16,"4,899",METEOR 350 SUPERNOVA RED,Royal Enfield Standard,2023
8,"5,099",SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
16,"7,149",CONTINENTAL GT 650 MR.CLEAN BASE,Royal Enfield Standard,2023
16,"5,480",SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
8,"4,699",METEOR 350 FIREBALL BLUE,Royal Enfield Standard,2023
3,"4,899",METEOR 350,Royal Enfield Cruiser,2023
2,"4,822",HIMALAYAN,Royal Enfield Standard,2022
5,"5,444",CONTINENTAL GT650,Royal Enfield Standard,2022
5,"5,444",CONTINENTAL GT BASE,Royal Enfield Standard,2022
5,"5,223",INT650 BASE,Royal Enfield Standard,2022
5,"4,030",METEOR 350 BASE,Royal Enfield Dual Sport,2022
5,"5,223",CONTINENTAL GT BASE,Royal Enfield Standard,2022
8,"4,897",INT650 DOWNTOWN DRAG,Royal Enfield Standard,2022
5,"5,299",HIMALAYAN ROCK RED,Royal Enfield Standard,2022
5,"6,499",CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
16,"4,695",CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2022
16,"5,299",HIMALAYAN GRAVEL GREY,Royal Enfield Standard,2022
16,"4,695",CLASSIC 350 HALCYON GREY,Royal Enfield Standard,2022
16,"6,499",CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
2,"5,299",HIMALAYAN,Royal Enfield Dual Sport,2022
3552,"4,550",HIMALAYAN SLEET GREY,Royal Enfield Standard,2021
2643,"9,999",INT650,Royal Enfield Standard,2020
5,"6,149",INT650 BASE,Royal Enfield Standard,2023
5,"6,649",CONTINENTAL GT 650,Royal Enfield Standard,2023
5,"6,349",CONTINENTAL GT650,Royal Enfield Standard,2023
5,"6,349",CONTINENTAL GT 650,Royal Enfield Standard,2023
2,"5,099",SCRAM 411 SILVER SPIRIT,Royal Enfield Standard,2023
3,"6,849",INT650 MARK 2,Royal Enfield Standard,2023
2,"6,149",INT650 VENTURA BLUE,Royal Enfield Standard,2023
16,"6,349",INT650 BAKER EXPRESS,Royal Enfield Standard,2023
16,"5,550",HIMALAYAN MIRAGE SILVER,Royal Enfield Standard,2023
16,"4,699",METEOR 350 FIREBALL RED,Royal Enfield Standard,2023
16,"4,699",CLASSIC 350 SIGNALS DESERT SAND,Royal Enfield Standard,2023
16,"6,149",INT650 VENTURA BLUE,Royal Enfield Standard,2023
3,"6,649",CONTINENTAL GT 650 DUX DELUXE BASE,Royal Enfield Standard,2023
16,"4,799",CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
16,"4,899",METEOR 350 SUPERNOVA BLUE,Royal Enfield Standard,2023
16,"4,799",CLASSIC 350 CHROME RED,Royal Enfield Standard,2023
5,"5,444",CONTIENETAL GT650,Royal Enfield Standard,2022
