Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
6," 15,860 ",R NINET SCRAMBLER 719 UNDERGROUND/LIGHT WHITE,BMW Standard,2023
5," 6,485 ",G 310 GS RALLY,BMW Dual Sport,2023
2," 13,595 ",F 750 GS,BMW Standard,2023
11," 22,999 ",R 18 B,BMW Cruiser,2022
1465," 21,500 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2022
1038," 28,997 ",R 1250,BMW Touring,2022
208," 8,499 ",C 400 GT CALLISTO GRAY METALLIC,BMW Scooter,2022
1719," 13,500 ",F 750,Dual Sport,2022
2023," 13,999 ",R NINET 719,BMW Standard,2021
394," 12,998 ",R NINET SCRAMBLER,BMW Standard,2021
9817," 14,500 ",R 1250,Sport Touring,2021
4949," 17,499 ",S1000XR 1000 XR,Sport Touring,2020
1434," 11,498 ",F 900 XR,BMW Standard,2020
19261," 18,995 ",K 1600 GT,Sport Touring,2020
31284," 16,500 ",K 1600 B,BMW Touring,2018
18829," 18,000 ",K 1600 GTL,BMW Touring,2018
11265," 17,800 ",K 1600 B,BMW Touring,2018
62764," 12,000 ",S 1000 XR,Sport Touring,2016
27496," 15,222 ",R 1200 GS PREMIUM RACING RED,Dual Sport,2016
7178," 12,750 ",R NINET,BMW Standard,2015
63703," 12,777 ",K 1600 GTL,BMW Touring,2015
10618," 10,000 ",R 1200 R,Sport Touring,2015
23883," 7,750 ",OTHER GS,BMW Touring,2010
13840," 9,000 ",K RS,BMW Cruiser/Vintage,1987
37015," 17,950 ",R 60,BMW Cruiser/Vintage,1968
24," 22,780 ",R 1250 GS,BMW Standard,2023
5," 18,045 ",R NINET 719 NIGHT BLACK MATTE/ALUMINUM MATTE BASE,BMW Cruiser,2023
2," 21,240 ",R 1250 GS LIGHT WHITE,BMW Dual Sport,2023
16," 29,480 ",K 1600 GTL BLACK STORM METALLIC,BMW Sport Touring,2023
3," 21,240 ",R 1250 GS LIGHT WHITE,BMW Dual Sport,2023
278," 17,000 ",F 850 GS 850 GS ADVENTURE,Dual Sport,2022
11853," 12,995 ",R NINET URBAN G/S,BMW Standard,2022
11," 21,999 ",R 18 B,BMW Cruiser,2022
8," 23,120 ",R 1250 GS ADVENTURE RALLY,BMW Dual Sport,2022
3380," 12,800 ",F 850 GSA 850 GS ADVENTURE,BMW Touring,2021
55345," 15,900 ",K 1600 GTL,BMW Touring,2019
2," 23,000 ",K 1600 GTL,Sport Touring,2018
41843," 17,999 ",R 1200 GS RALLYE,Dual Sport,2017
17870," 11,990 ",S 1000 XR,Sport Touring,2016
4653," 11,995 ",R NINET BASE,BMW Cruiser/Vintage,2016
30072," 12,000 ",R 1200 GS,Sport Touring,2013
73624," 8,500 ",R 1200 GS ADVENTURE,Dual Sport,2010
69202," 6,500 ",R 1200 RT,BMW Touring,2005
11," 25,890 ",R 18 B,BMW Cruiser,2023
6," 21,935 ",R 1250 GS,BMW Standard,2023
323," 21,565 ",R 1250 GS,BMW Standard,2023
8," 26,225 ",R 1250 GS ADVENTURE,BMW Dual Sport,2023
322," 23,255 ",R 1250 GS,BMW Dual Sport,2023
8," 23,980 ",R 1250 GS,BMW Dual Sport,2023
5," 11,295 ",R NINET PURE MINERAL GRAY METALLIC,BMW Cruiser,2023
5," 24,390 ",R 18 B GRAVITY BLUE METALLIC,BMW Cruiser,2023
121," 17,888 ",R 18,BMW Cruiser,2022
336," 13,499 ",CE 04 STYLE AVANTGARDE,BMW Scooter,2022
20530," 26,000 ",R 1250,Dual Sport,2022
1086," 23,500 ",R 1250,Dual Sport,2022
7746," 22,750 ",K 1600 GTL,Sport Touring,2021
10992," 18,890 ",K 1600 GT SPORT,BMW Cruiser,2020
1802," 4,495 ",300,Dual Sport,2019
28003," 17,500 ",K 1600 B,Sport Touring,2019
23057," 17,999 ",R 1200 GS ADVENTURE,Dual Sport,2018
